track,artist,genre,valence_tags,arousal_tags
(Let's Go) Get Lost,Patrick Wolf,alternative,7.64,5.4425
Roland Chorale,Warren Zevon,rock,2.5133333333333336,3.3233333333333337
"Please, Please, Please Let Me Get What I Want",Elefant,,4.92,4.045
Bright Shiny Lights,Patrick Watson,indie,5.3420000000000005,4.578
You Can Call Me Al (Remastered LP Version),Paul Simon,soft rock,7.05,5.4
She Took Him To,Alkaline Trio,punk,5.083095238095238,4.829761904761905
Dawn of Victory (Re-Recorded),Rhapsody of Fire,soundtrack,6.361923076923077,4.797692307692308
Green Green Grass Of Tunnel,múm,electronic,6.525,3.3375
The Nile,Mythos,new age,4.840285714285713,3.1351428571428577
Vanishing,A Perfect Circle,alternative rock,5.596896551724136,3.7396551724137934
Donnie Sloan - Call You Up (Hatchmatik Edit),Hatchmatik,,2.75,5.75
A New Soldier Follows The Path Of A New King XII,The Moon Lay Hidden Beneath a Cloud,industrial,2.7,2.115
Song On the Radio,Al Stewart,singer-songwriter,6.65,4.77
Paper Tiger,Beck,alternative,5.449243697478992,3.454117647058823
Hyperion,Matt Howden,ambient,5.9,4.77
Blue Room (extended version),Kirlian Camera,alternative,4.32,3.55
So Far Away And So Near,Erutan,mashup,4.998606994665086,4.868091286307054
(That's How You Sing) Amazing Grace,Low,slowcore,5.272016806722689,3.374705882352941
Fragment from the Divine Litur,Ensemble Sreteniye,byzantine,6.95,5.0
Alley Cat,Sherwood,indie,7.2525,4.1975
Love Is Noise (Radio Edit),The Verve,rock,5.78,5.4350000000000005
Energy Song,Xavier Rudd,folk,5.81546052631579,3.564934210526316
Distant Land,Madlib,hip-hop,6.401728395061728,2.95283950617284
Mermen of the Lea,And Also The Trees,new wave,3.4,5.57
Say Ahhh...,Deee-Lite,dance,7.1175,5.775
Thanks a Whole Lot,Landau,idm,5.135000000000001,4.653333333333333
All The Roses,Natalie Imbruglia,pop,3.8849999999999993,2.07
Don't Get Your Hopes Up,The Elected,indie rock,4.87,3.4675
I Wanna Rock You (Luca Cassani Club Mix),Giorgio Moroder,disco,2.84,2.135
Billy,6ix9ine,hip-hop,5.302222222222222,4.661111111111111
Gm Dub,Jah Division,reggae,7.546,5.238
Sacrilege of Hate,Hate Eternal,death metal,3.08,5.87
A Touching Display,Wire,post-punk,3.837162162162162,3.6118918918918914
Over & Over,Gemma Hayes,indie,3.4,5.57
Hawaii,The Strokes,indie rock,7.467499999999999,5.1325
"Don't Think Twice, It's All Right",Bob Dylan,folk,5.295199999999999,3.8368
Orichaoco,Francisco Aguabella,,6.95,5.0
Hyperelliptic Surfaces,Dopplereffekt,electronic,4.780909090909091,5.130909090909091
Desperate Guys,The Faint,electronic,6.605409836065574,5.242622950819673
Second Best,Pedro the Lion,indie rock,3.681111111111112,4.356666666666667
"Breathe in, Breathe Out",Ilse DeLange,pop,3.235,1.61
(Get a) grip (on yourself),Los Panchos? Sí!,punk,4.24,5.19
Wash It Away,Black Lab,rock,5.7,5.64
"Piano Trio no. 7 in B-flat major, op. 97 ""Archduke"": II. Scherzo",Ludwig van Beethoven,focus,6.555,4.19
Cynicism,Nana Grizol,indie,5.65,4.763333333333334
Morning Prayer,Kitaro,electronica,2.35,0.6366666666666667
I Know The Truth,Pretty Lights,dubstep,6.878333333333334,5.74
Temptation Part I (Album Version - Amended),Fat Joe,rap,2.35,5.39
Chasingbits,Paza,8-bit,7.57,5.5
To the Beauty of Truth,Azar Baksh,chill,5.5616666666666665,3.8566666666666665
"Two Pieces for Str Oct, Op.11: Prl: Adagio",Dmitri Shostakovich,classical,4.1850000000000005,4.045
Framed Then Failed,Only Crime,punk,5.996666666666667,6.506666666666667
Hit From the Morning Sun,MONGREL,punk,6.57,5.04
Concorde,Franck Pourcel,easy listening,6.549999999999999,3.52
Last Night on Earth,Green Day,rock,6.437428571428571,4.530285714285714
Wings Of The Shadow,David Arkenstone,new age,6.782857142857143,5.022857142857142
Prelude: First Snow,Michael Gettel,piano,6.48,3.923333333333334
Your Uniform (Does Not Impress Me!),Atari Teenage Riot,digital hardcore,2.781746031746032,6.266666666666667
At & T,Pavement,lo-fi,2.545,2.105
Spira,Lemongrass,trip-hop,4.575,3.535
Empty Streets Revisted,DJ Hidden,electro,3.95,5.57
Learning to Fly,Bias-Ply,chill,2.58,1.625
The Happy Song,Murry Wilson,,6.685,4.815
